source_file,url,status,final_url,bytes,has_main,has_h1,has_article,verdict,note
index.html,/,200,http://localhost:4321/,20036,true,true,true,OK,
about/index.md,/about/,200,http://localhost:4321/about/,18131,true,false,false,EMPTY,bytes=18131 main=true h1=false article=false
about/community/index.md,/about/community/,200,http://localhost:4321/about/community/,20764,true,true,false,OK,
about/community/slack/index.md,/about/community/slack/,200,http://localhost:4321/about/community/slack/,15268,true,true,false,OK,
about/community/survey/index.md,/about/community/survey/,200,http://localhost:4321/about/community/survey/,13582,true,true,false,OK,
about/community/survey/2019/index.md,/about/community/survey/2019/,200,http://localhost:4321/about/community/survey/2019/,29309,true,true,false,OK,
about/community/survey/2023/index.md,/about/community/survey/2023/,200,http://localhost:4321/about/community/survey/2023/,27522,true,true,false,OK,
about/conduct/index.md,/about/conduct/,200,http://localhost:4321/about/conduct/,16614,true,true,false,OK,
about/contribute/index.md,/about/contribute/,200,http://localhost:4321/about/contribute/,21459,true,true,false,OK,
about/governance/index.md,/about/governance/,200,http://localhost:4321/about/governance/,18942,true,true,false,OK,
about/license/index.md,/about/license/,200,http://localhost:4321/about/license/,13375,true,true,false,OK,
about/releases/index.md,/about/releases/,200,http://localhost:4321/about/releases/,15383,true,true,false,OK,
about/resources/index.html,/about/resources/,200,http://localhost:4321/about/resources/,15835,true,true,false,OK,
blog/index.html,/blog/,200,http://localhost:4321/blog/,14784,true,true,true,OK,
_posts/2013-10-16-version-0-2-0-released.md,/blog/2013/10/16/version-0-2-0-released/,200,http://localhost:4321/blog/2013/10/16/version-0-2-0-released/,13261,true,true,true,OK,
_posts/2013-10-21-internet-of-things-messaging-hangout.md,/blog/2013/10/21/internet-of-things-messaging-hangout/,200,http://localhost:4321/blog/2013/10/21/internet-of-things-messaging-hangout/,12390,true,true,true,OK,
_posts/2013-10-31-version-0-3-0-released.md,/blog/2013/10/31/version-0-3-0-released/,200,http://localhost:4321/blog/2013/10/31/version-0-3-0-released/,13977,true,true,true,OK,
_posts/2013-11-14-version-0-4-0-released.md,/blog/2013/11/14/version-0-4-0-released/,200,http://localhost:4321/blog/2013/11/14/version-0-4-0-released/,17225,true,true,true,OK,
_posts/2013-12-21-version-0-5-0-released.md,/blog/2013/12/21/version-0-5-0-released/,200,http://localhost:4321/blog/2013/12/21/version-0-5-0-released/,20836,true,true,true,OK,
_posts/2014-01-22-community-news.md,/blog/2014/01/22/community-news/,200,http://localhost:4321/blog/2014/01/22/community-news/,13754,true,true,true,OK,
_posts/2014-02-21-version-0-6-0-released.md,/blog/2014/02/21/version-0-6-0-released/,200,http://localhost:4321/blog/2014/02/21/version-0-6-0-released/,20110,true,true,true,OK,
_posts/2014-04-16-version-0-7-0-released.md,/blog/2014/04/16/version-0-7-0-released/,200,http://localhost:4321/blog/2014/04/16/version-0-7-0-released/,23768,true,true,true,OK,
_posts/2014-06-26-version-0-8-0-released.md,/blog/2014/06/26/version-0-8-0-released/,200,http://localhost:4321/blog/2014/06/26/version-0-8-0-released/,16509,true,true,true,OK,
_posts/2014-09-24-version-0-9-0-released.md,/blog/2014/09/24/version-0-9-0-released/,200,http://localhost:4321/blog/2014/09/24/version-0-9-0-released/,18084,true,true,true,OK,
_posts/2015-02-08-version-0-10-1-released.md,/blog/2015/02/08/version-0-10-1-released/,200,http://localhost:4321/blog/2015/02/08/version-0-10-1-released/,20430,true,true,true,OK,
_posts/2015-02-25-changing-where-node-red-stores-data.md,/blog/2015/02/25/changing-where-node-red-stores-data/,200,http://localhost:4321/blog/2015/02/25/changing-where-node-red-stores-data/,17567,true,true,true,OK,
_posts/2015-04-01-version-0-10-6-released.md,/blog/2015/04/01/version-0-10-6-released/,200,http://localhost:4321/blog/2015/04/01/version-0-10-6-released/,21953,true,true,true,OK,
_posts/2015-06-16-version-0-10-8-released.md,/blog/2015/06/16/version-0-10-8-released/,200,http://localhost:4321/blog/2015/06/16/version-0-10-8-released/,16178,true,true,true,OK,
_posts/2015-07-15-version-0-11-0-released.md,/blog/2015/07/15/version-0-11-0-released/,200,http://localhost:4321/blog/2015/07/15/version-0-11-0-released/,15863,true,true,true,OK,
_posts/2015-11-06-version-0-12-0-released.md,/blog/2015/11/06/version-0-12-0-released/,200,http://localhost:4321/blog/2015/11/06/version-0-12-0-released/,17828,true,true,true,OK,
_posts/2015-11-25-node-red-included-in-raspian-jessie.md,/blog/2015/11/25/node-red-included-in-raspian-jessie/,200,http://localhost:4321/blog/2015/11/25/node-red-included-in-raspian-jessie/,13115,true,true,true,OK,
_posts/2016-01-18-version-0-13-released.md,/blog/2016/01/18/version-0-13-released/,200,http://localhost:4321/blog/2016/01/18/version-0-13-released/,20993,true,true,true,OK,
